,chr,start,end,width,reads,gc,map,cor_gc,copy,valid,ideal,modal_curve,modal_quantile,cor_map,multiplier,state,cell_id,is_low_mappability
499,10.0,1,500000,500000,95,-1.0,0.8531709999999999,,,False,False,,,,2,2,SA1015-A95736A-R03-C04,True
500,10.0,500001,1000000,500000,71,0.474668,0.990292,0.8546283287834059,1.66033103731566,True,True,83.0770495299062,46.0,,2,2,SA1015-A95736A-R03-C04,False
501,10.0,1000001,1500000,500000,112,0.473338,0.989629,1.35343153413006,2.62938204517136,True,True,82.75261598067429,46.0,,2,2,SA1015-A95736A-R03-C04,False
502,10.0,1500001,2000000,500000,162,0.446442,0.994841,2.11577870813135,4.11043366910484,True,True,76.5675537698731,46.0,,2,2,SA1015-A95736A-R03-C04,False
503,10.0,2000001,2500000,500000,151,0.396922,0.997134,2.25194667772949,4.37497428705263,True,True,67.0530974349022,46.0,,2,2,SA1015-A95736A-R03-C04,False
504,10.0,2500001,3000000,500000,129,0.409368,0.997881,1.86373168117635,3.6207687614223913,True,True,69.2159720752174,46.0,,2,2,SA1015-A95736A-R03-C04,False
505,10.0,3000001,3500000,500000,80,0.459866,0.998905,1.00546672587815,1.9533726600663,True,True,79.5650397382664,46.0,,2,2,SA1015-A95736A-R03-C04,False
506,10.0,3500001,4000000,500000,140,0.427648,0.998698,1.9264977811304296,3.74270773809236,True,True,72.6707299490639,46.0,,2,2,SA1015-A95736A-R03-C04,False
507,10.0,4000001,4500000,500000,84,0.394644,0.999858,1.259864645023,2.44760476864383,True,True,66.6738290750799,46.0,,2,2,SA1015-A95736A-R03-C04,False
508,10.0,4500001,5000000,500000,64,0.385006,0.996761,0.982709927256438,1.90916184024083,True,True,65.1260338629908,46.0,,2,2,SA1015-A95736A-R03-C04,False
509,10.0,5000001,5500000,500000,72,0.401138,0.98389,1.0624392549155,2.06405616428588,True,True,67.7685803370719,46.0,,2,2,SA1015-A95736A-R03-C04,False
510,10.0,5500001,6000000,500000,76,0.465934,0.999661,0.938520331306355,1.82331240697105,True,True,80.97853340503909,46.0,,2,2,SA1015-A95736A-R03-C04,False
511,10.0,6000001,6500000,500000,81,0.45682,0.985082,1.02701635798035,1.99523825452061,True,True,78.8692403685645,46.0,,2,2,SA1015-A95736A-R03-C04,False
512,10.0,6500001,7000000,500000,120,0.415548,0.98961,1.70583162295167,3.31400808121233,True,True,70.3469195818748,46.0,,2,2,SA1015-A95736A-R03-C04,False
