chr,start,end,width,reads,gc,map,cor_gc,copy,valid,ideal,modal_curve,modal_quantile,cor_map,multiplier,state,cell_id,is_low_mappability
1,1,500000,500000,44,-1,0.348523,NA,NA,FALSE,FALSE,NA,NA,NA,2,2,SA1015-A95736A-R03-C04,TRUE
1,500001,1000000,500000,35,-1,0.7703909999999999,NA,NA,FALSE,FALSE,NA,NA,NA,2,2,SA1015-A95736A-R03-C04,TRUE
1,1000001,1500000,500000,109,0.598332,0.982072,0.9016095664413442,1.7516039385615398,TRUE,FALSE,120.894901803475,46,NA,2,2,SA1015-A95736A-R03-C04,FALSE
1,1500001,2000000,500000,85,0.5394979999999999,0.9630040000000001,0.841462240191164,1.63475259017845,TRUE,TRUE,101.01463374124701,46,NA,2,2,SA1015-A95736A-R03-C04,FALSE
1,2000001,2500000,500000,91,0.594508,0.997066,0.761515065286986,1.47943504292599,TRUE,TRUE,119.49862077345199,46,NA,2,2,SA1015-A95736A-R03-C04,FALSE
1,2500001,3000000,500000,114,-1,0.8549950000000001,NA,NA,FALSE,FALSE,NA,NA,NA,2,2,SA1015-A95736A-R03-C04,TRUE
1,3000001,3500000,500000,206,0.584572,0.9969889999999999,1.7768070277222698,3.45189570260024,TRUE,TRUE,115.93830775426201,46,NA,2,2,SA1015-A95736A-R03-C04,FALSE
1,3500001,4000000,500000,56,-1,0.696429,NA,NA,FALSE,FALSE,NA,NA,NA,2,2,SA1015-A95736A-R03-C04,TRUE
1,4000001,4500000,500000,79,0.482574,0.9962340000000001,0.9289555168767901,1.80473034301562,TRUE,TRUE,85.0417469564132,46,NA,2,2,SA1015-A95736A-R03-C04,FALSE
1,4500001,5000000,500000,112,0.481828,0.9990020000000001,1.3199186158551202,2.5642747505862,TRUE,TRUE,84.8537164751179,46,NA,2,2,SA1015-A95736A-R03-C04,FALSE
1,5000001,5500000,500000,69,0.447446,0.997099,0.898606373921746,1.7457694797876,TRUE,TRUE,76.7855670763457,46,NA,2,2,SA1015-A95736A-R03-C04,FALSE
1,5500001,6000000,500000,93,0.49113,0.9974940000000001,1.06605287625279,2.0710765349678897,TRUE,TRUE,87.2376990594482,46,NA,2,2,SA1015-A95736A-R03-C04,FALSE
1,6000001,6500000,500000,99,0.545072,0.9978540000000001,0.9634928524601272,1.87182782654607,TRUE,TRUE,102.75115144572099,46,NA,2,2,SA1015-A95736A-R03-C04,FALSE
1,6500001,7000000,500000,83,0.489968,0.999179,0.9547339791225892,1.85481150639327,TRUE,TRUE,86.93521107971658,46,NA,2,2,SA1015-A95736A-R03-C04,FALSE
1,7000001,7500000,500000,77,0.47067200000000003,0.99554,0.9377942895908399,1.82190188785525,TRUE,TRUE,82.1075590400482,46,NA,2,2,SA1015-A95736A-R03-C04,FALSE
1,7500001,8000000,500000,95,0.48825,0.998566,1.09838733596752,2.13389437663203,TRUE,TRUE,86.49043637809099,46,NA,2,2,SA1015-A95736A-R03-C04,FALSE
1,8000001,8500000,500000,65,0.4627020000000001,0.998576,0.810260374071984,1.57413509717586,TRUE,TRUE,80.2211265415101,46,NA,2,2,SA1015-A95736A-R03-C04,FALSE
1,8500001,9000000,500000,35,0.4260100000000001,0.997957,0.483775095297798,0.939855114499535,TRUE,TRUE,72.3476680387092,46,NA,2,2,SA1015-A95736A-R03-C04,FALSE
1,9000001,9500000,500000,111,0.506692,0.999332,1.21420841345196,2.3589060258439196,TRUE,TRUE,91.41758430451807,46,NA,2,2,SA1015-A95736A-R03-C04,FALSE
1,9500001,10000000,500000,183,0.49724799999999997,0.999216,2.0595962786674,4.0012851325432415,TRUE,TRUE,88.8523648520109,46,NA,2,2,SA1015-A95736A-R03-C04,FALSE
1,10000001,10500000,500000,50,0.445162,0.999742,0.6553848219935671,1.2732502828341101,TRUE,TRUE,76.2910557615732,46,NA,2,2,SA1015-A95736A-R03-C04,FALSE
1,10500001,11000000,500000,86,0.511386,0.9994629999999999,0.9274693025285592,1.80184299687068,TRUE,TRUE,92.7254409019665,46,NA,2,2,SA1015-A95736A-R03-C04,FALSE
1,11000001,11500000,500000,66,0.48021199999999997,0.996129,0.781543350200807,1.51834503683405,TRUE,TRUE,84.44829065853129,46,NA,2,2,SA1015-A95736A-R03-C04,FALSE
1,11500001,12000000,500000,100,0.519874,0.9993,1.05101873908136,2.04186893240629,TRUE,TRUE,95.14578216503072,46,NA,2,2,SA1015-A95736A-R03-C04,FALSE
1,12000001,12500000,500000,67,0.47629399999999994,0.9984059999999999,0.8026252583202941,1.5593019595076103,TRUE,TRUE,83.4760672000471,46,NA,2,2,SA1015-A95736A-R03-C04,FALSE
1,12500001,13000000,500000,102,0.462062,0.9821030000000001,1.27384761822289,2.47477022012233,TRUE,TRUE,80.0723717192308,46,NA,2,2,SA1015-A95736A-R03-C04,FALSE
1,13000001,13500000,500000,0,-1,0.530345,NA,NA,FALSE,FALSE,NA,NA,NA,2,2,SA1015-A95736A-R03-C04,TRUE
1,13500001,14000000,500000,26,-1,0.688451,NA,NA,FALSE,FALSE,NA,NA,NA,2,2,SA1015-A95736A-R03-C04,TRUE
1,14000001,14500000,500000,120,0.4314,0.996742,1.63441542295546,3.1752641039448704,TRUE,TRUE,73.4207462280355,46,NA,2,2,SA1015-A95736A-R03-C04,FALSE
1,14500001,15000000,500000,79,0.43112399999999995,0.9962469999999999,1.07680628126072,2.09196773584454,TRUE,TRUE,73.3650995307228,46,NA,2,2,SA1015-A95736A-R03-C04,FALSE
1,15000001,15500000,500000,88,0.49493400000000004,0.9998530000000001,0.9973107150419028,1.9375275523439897,TRUE,TRUE,88.2372952308074,46,NA,2,2,SA1015-A95736A-R03-C04,FALSE
1,15500001,16000000,500000,72,0.47272600000000004,0.9989520000000001,0.871629377751333,1.6933598620312602,TRUE,TRUE,82.6039161113967,46,NA,2,2,SA1015-A95736A-R03-C04,FALSE
1,16000001,16500000,500000,56,0.5130819999999999,0.997441,0.60083676927031,1.1672769352264099,TRUE,TRUE,93.2033505006851,46,NA,2,2,SA1015-A95736A-R03-C04,FALSE
1,16500001,17000000,500000,35,0.479312,0.9855940000000001,0.415560397724711,0.8073308630007281,TRUE,TRUE,84.2236175334153,46,NA,2,2,SA1015-A95736A-R03-C04,FALSE
1,17000001,17500000,500000,52,-1,0.893394,NA,NA,FALSE,FALSE,NA,NA,NA,2,2,SA1015-A95736A-R03-C04,TRUE
1,17500001,18000000,500000,118,0.513392,0.999589,1.26485925429784,2.45730805663344,TRUE,TRUE,93.29101210197919,46,NA,2,2,SA1015-A95736A-R03-C04,FALSE
1,18000001,18500000,500000,133,0.49452799999999997,0.9995229999999999,1.5091355070340202,2.93187627586671,TRUE,TRUE,88.12992562966829,46,NA,2,2,SA1015-A95736A-R03-C04,FALSE
1,18500001,19000000,500000,295,0.48869799999999997,0.999556,3.40622509229668,6.6174511777234395,TRUE,FALSE,86.6061378818314,46,NA,2,2,SA1015-A95736A-R03-C04,FALSE
