,chr,start,end,width,reads,gc,map,cor_gc,copy,valid,ideal,modal_curve,modal_quantile,cor_map,multiplier,state,cell_id,is_low_mappability
2143,17.0,1,500000,500000,68,-1.0,0.780165,,,False,False,,,,2,2,SA1015-A95736A-R03-C04,True
2144,17.0,500001,1000000,500000,77,0.504174,0.992262,0.848718644070747,1.6488499845366698,True,True,90.72500119790159,46.0,,2,2,SA1015-A95736A-R03-C04,False
2145,17.0,1000001,1500000,500000,96,0.519424,0.989772,1.01035960954945,1.96287832041925,True,True,95.01567470893794,46.0,,2,2,SA1015-A95736A-R03-C04,False
2146,17.0,1500001,2000000,500000,141,0.519462,0.998143,1.4837942234726995,2.88264444232549,True,True,95.0266538105271,46.0,,2,2,SA1015-A95736A-R03-C04,False
2147,17.0,2000001,2500000,500000,76,0.466936,0.996032,0.93578255679545,1.81799358960854,True,True,81.2154484480444,46.0,,2,2,SA1015-A95736A-R03-C04,False
2148,17.0,2500001,3000000,500000,48,0.491356,0.999474,0.549849052078939,1.0682204371868298,True,True,87.29668591500791,46.0,,2,2,SA1015-A95736A-R03-C04,False
2149,17.0,3000001,3500000,500000,51,0.428346,0.974995,0.7004608989851421,1.36082192906784,True,True,72.8092033029838,46.0,,2,2,SA1015-A95736A-R03-C04,False
2150,17.0,3500001,4000000,500000,96,0.510474,0.996518,1.03817870596514,2.01692393025154,True,True,92.4696292154764,46.0,,2,2,SA1015-A95736A-R03-C04,False
2151,17.0,4000001,4500000,500000,72,0.483668,0.998116,0.8438968129274359,1.6394823616363998,True,True,85.3184878732218,46.0,,2,2,SA1015-A95736A-R03-C04,False
2152,17.0,4500001,5000000,500000,173,0.507686,0.996879,1.88673658577904,3.6654615896799294,True,True,91.69271497884657,46.0,,2,2,SA1015-A95736A-R03-C04,False
2153,17.0,5000001,5500000,500000,67,0.450448,0.997316,0.8651480908203689,1.68076832780427,True,True,77.44338883816741,46.0,,2,2,SA1015-A95736A-R03-C04,False
2154,17.0,5500001,6000000,500000,70,0.459262,0.997453,0.8813197506681428,1.7121858550098,True,True,79.4263375431355,46.0,,2,2,SA1015-A95736A-R03-C04,False
2155,17.0,6000001,6500000,500000,132,0.477104,0.998749,1.57751672261444,3.0647240305850296,True,True,83.6758166222382,46.0,,2,2,SA1015-A95736A-R03-C04,False
2156,17.0,6500001,7000000,500000,75,0.45152,0.995725,0.965493819187884,1.87571520899156,True,True,77.68045585531091,46.0,,2,2,SA1015-A95736A-R03-C04,False
2157,17.0,7000001,7500000,500000,93,0.52508,0.999269,0.9620800073075628,1.8690830185649696,True,True,96.6655572235264,46.0,,2,2,SA1015-A95736A-R03-C04,False
2158,17.0,7500001,8000000,500000,80,0.49814,0.999555,0.8979595033541651,1.74451277059097,True,True,89.0908773738398,46.0,,2,2,SA1015-A95736A-R03-C04,False
2159,17.0,8000001,8500000,500000,100,0.477384,0.998859,1.1941008995399398,2.31984210962796,True,True,83.7450168897179,46.0,,2,2,SA1015-A95736A-R03-C04,False
2160,17.0,8500001,9000000,500000,153,0.460258,0.999991,1.92077730989404,3.73159428020433,True,True,79.6552516587362,46.0,,2,2,SA1015-A95736A-R03-C04,False
2161,17.0,9000001,9500000,500000,49,0.458338,0.999613,0.618570889249643,1.2017299352376298,True,True,79.2148496665264,46.0,,2,2,SA1015-A95736A-R03-C04,False
2162,17.0,9500001,10000000,500000,92,0.46044,0.987854,1.15436946910048,2.24265378706265,True,True,79.6971874799228,46.0,,2,2,SA1015-A95736A-R03-C04,False
2163,17.0,10000001,10500000,500000,197,0.42888,0.997617,2.7017587348327297,5.24884763551799,True,True,72.91546704750309,46.0,,2,2,SA1015-A95736A-R03-C04,False
2164,17.0,10500001,11000000,500000,109,0.438514,0.997296,1.4556412974538002,2.8279502843083195,True,True,74.8810851895053,46.0,,2,2,SA1015-A95736A-R03-C04,False
2165,17.0,11000001,11500000,500000,64,0.43124,0.997893,0.872071497731165,1.69421879157994,True,True,73.3884780852331,46.0,,2,2,SA1015-A95736A-R03-C04,False
2166,17.0,11500001,12000000,500000,86,0.418304,0.993703,1.21360143903042,2.35772682497146,True,True,70.8634624467053,46.0,,2,2,SA1015-A95736A-R03-C04,False
2167,17.0,12000001,12500000,500000,97,0.396518,0.99049,1.44807544904968,2.81325171592964,True,True,66.98545995214371,46.0,,2,2,SA1015-A95736A-R03-C04,False
2168,17.0,12500001,13000000,500000,60,0.427612,0.998218,0.825722907488712,1.60417496747114,True,True,72.66360113767371,46.0,,2,2,SA1015-A95736A-R03-C04,False
2169,17.0,13000001,13500000,500000,68,0.395446,0.998549,1.01786092179095,1.9774515110282,True,True,66.8067695145935,46.0,,2,2,SA1015-A95736A-R03-C04,False
2170,17.0,13500001,14000000,500000,45,0.403704,0.997106,0.6597015640470489,1.28163664281083,True,True,68.2126622892025,46.0,,2,2,SA1015-A95736A-R03-C04,False
2171,17.0,14000001,14500000,500000,66,0.412426,0.993792,0.9459536049739448,1.83775341549311,True,True,69.7708636586018,46.0,,2,2,SA1015-A95736A-R03-C04,False
2172,17.0,14500001,15000000,500000,48,0.399224,0.999494,0.711727089024865,1.38270934417597,True,True,67.4415808252636,46.0,,2,2,SA1015-A95736A-R03-C04,False
2173,17.0,15000001,15500000,500000,79,0.428486,0.992649,1.08461306202432,2.1071343760866,True,True,72.8370354055616,46.0,,2,2,SA1015-A95736A-R03-C04,False
2174,17.0,15500001,16000000,500000,44,0.440372,0.975077,0.584556482883542,1.1356483735769098,True,True,75.2707416449368,46.0,,2,2,SA1015-A95736A-R03-C04,False
2175,17.0,16000001,16500000,500000,120,0.449046,0.998946,1.55571277455612,3.0223643632559902,True,True,77.1350611517851,46.0,,2,2,SA1015-A95736A-R03-C04,False
2176,17.0,16500001,17000000,500000,39,0.459138,0.956305,0.491196827475927,0.954273700767947,True,True,79.3979069457881,46.0,,2,2,SA1015-A95736A-R03-C04,False
2177,17.0,17000001,17500000,500000,83,0.5090979999999999,0.998829,0.9013389377866048,1.75107817415622,True,True,92.0852262344518,46.0,,2,2,SA1015-A95736A-R03-C04,False
2178,17.0,17500001,18000000,500000,87,0.512676,0.998379,0.934592631521313,1.81568185970421,True,True,93.08868598544693,46.0,,2,2,SA1015-A95736A-R03-C04,False
2179,17.0,18000001,18500000,500000,188,0.500542,0.997161,2.0950094196282603,4.07008408886833,True,True,89.73706668744171,46.0,,2,2,SA1015-A95736A-R03-C04,False
2180,17.0,18500001,19000000,500000,50,0.467054,0.956176,0.615434501206119,1.19563671057102,True,True,81.24341404651629,46.0,,2,2,SA1015-A95736A-R03-C04,False
2181,17.0,19000001,19500000,500000,92,0.492354,0.937927,1.05073481742055,2.04131734298464,True,True,87.55777240336502,46.0,,2,2,SA1015-A95736A-R03-C04,False
2182,17.0,19500001,20000000,500000,56,0.4405600000000001,0.996765,0.7435896028210641,1.4446103118843898,True,True,75.3103590845604,46.0,,2,2,SA1015-A95736A-R03-C04,False
2183,17.0,20000001,20500000,500000,30,0.442036,0.950671,0.39670673130521705,0.77070286171736,True,True,75.62261396799609,46.0,,2,2,SA1015-A95736A-R03-C04,False
2184,17.0,20500001,21000000,500000,42,0.433442,0.978576,0.568837502558949,1.10511029049578,True,True,73.8347943148272,46.0,,2,2,SA1015-A95736A-R03-C04,False
2185,17.0,21000001,21500000,500000,70,0.4893520000000001,0.998718,0.8066802510714921,1.56717980546024,True,True,86.7753981915645,46.0,,2,2,SA1015-A95736A-R03-C04,False
2186,17.0,21500001,22000000,500000,25,-1.0,0.794266,,,False,False,,,,2,2,SA1015-A95736A-R03-C04,True
2187,17.0,22000001,22500000,500000,18,-1.0,0.510649,,,False,False,,,,2,2,SA1015-A95736A-R03-C04,True
2188,17.0,22500001,23000000,500000,0,-1.0,0.0,,,False,False,,,,2,2,SA1015-A95736A-R03-C04,True
2189,17.0,23000001,23500000,500000,0,-1.0,0.0,,,False,False,,,,2,2,SA1015-A95736A-R03-C04,True
2190,17.0,23500001,24000000,500000,0,-1.0,0.0,,,False,False,,,,2,2,SA1015-A95736A-R03-C04,True
2191,17.0,24000001,24500000,500000,0,-1.0,0.0,,,False,False,,,,2,2,SA1015-A95736A-R03-C04,True
2192,17.0,24500001,25000000,500000,0,-1.0,0.0,,,False,False,,,,2,2,SA1015-A95736A-R03-C04,True
2193,17.0,25000001,25500000,500000,18,-1.0,0.4631020000000001,,,False,False,,,,2,2,SA1015-A95736A-R03-C04,True
2194,17.0,25500001,26000000,500000,64,0.470954,0.994537,0.7788213355661601,1.51305683700528,True,True,82.17545806378759,46.0,,2,2,SA1015-A95736A-R03-C04,False
2195,17.0,26000001,26500000,500000,97,0.429364,0.996566,1.32854827839817,2.58104004618807,True,True,73.0120249126009,46.0,,2,2,SA1015-A95736A-R03-C04,False
2196,17.0,26500001,27000000,500000,211,0.479212,0.996109,2.5059768332435297,4.86849192203963,True,True,84.1987033562872,46.0,,2,2,SA1015-A95736A-R03-C04,False
2197,17.0,27000001,27500000,500000,140,0.50417,0.999265,1.54314343597934,2.9979452535041804,True,True,90.72390598036058,46.0,,2,2,SA1015-A95736A-R03-C04,False
2198,17.0,27500001,28000000,500000,53,0.448212,0.998986,0.688735921775181,1.33804320419076,True,True,76.95257111520371,46.0,,2,2,SA1015-A95736A-R03-C04,False
2199,17.0,28000001,28500000,500000,66,0.396782,0.99421,0.984639028338313,1.9129096055470904,True,True,67.0296404067816,46.0,,2,2,SA1015-A95736A-R03-C04,False
2200,17.0,28500001,29000000,500000,55,0.43004,0.981152,0.751907710402058,1.46077033340874,True,True,73.1472749103618,46.0,,2,2,SA1015-A95736A-R03-C04,False
2201,17.0,29000001,29500000,500000,41,0.438372,0.990412,0.5477516107574529,1.06414562851535,True,True,74.85144579183171,46.0,,2,2,SA1015-A95736A-R03-C04,False
2202,17.0,29500001,30000000,500000,85,0.443108,0.997195,1.12062170480368,2.17709024485975,True,True,75.85075287729741,46.0,,2,2,SA1015-A95736A-R03-C04,False
