"","chr","start","end","reads","gc","map","valid","ideal","cor.gc","cor.map","copy"
"1","6",1,10001,9027,-1,0.13112,FALSE,FALSE,NA,NA,NA
"2","6",10001,20001,15125,0.3691,0.211891,TRUE,FALSE,1.19777271164629,2.40665342599298,1.26702839914469
"3","6",20001,30001,7593,0.3291,0.108305,TRUE,FALSE,0.749848003901577,1.71739424112543,0.780221259158819
"4","6",30001,40001,11688,0.3987,0.137248,TRUE,FALSE,0.840819121010042,1.85370617123529,0.890412582207074
"5","6",40001,50001,6451,0.4103,0.143463,TRUE,FALSE,0.453903713421986,0.992697420102723,-0.0105740518960742
"6","6",50001,60001,8646,0.3595,0.137469,TRUE,FALSE,0.713848870426646,1.57333184939927,0.653822998146476
"7","6",60001,70001,6356,0.3783,0.128612,TRUE,FALSE,0.486619637931765,1.08495480287036,0.117634944021872
"8","6",70001,80001,2422,0.3444,0.133021,TRUE,FALSE,0.216000856125693,0.4788255501875,-1.06242795817544
"9","6",80001,90001,6831,0.4375,0.238202,TRUE,FALSE,0.459464194543368,0.895093748481354,-0.159889302581865
"10","6",90001,100001,13817,0.4557,0.674247,TRUE,FALSE,0.899576988941475,1.15734894867592,0.210823912520916
"11","6",100001,110001,13563,0.4207,0.725025,TRUE,FALSE,0.937564722436105,1.16043434941554,0.214664905748519
"12","6",110001,120001,11801,0.3875,0.903295,TRUE,TRUE,0.876346844222048,0.947388395949868,-0.077972093654256
"13","6",120001,130001,14952,0.4745,0.853921,TRUE,FALSE,0.956301650338051,1.07945594966427,0.110304371199621
"14","6",130001,140001,19067,0.4901,0.945172,TRUE,TRUE,1.19446887761843,1.23826714722895,0.308322599208451
"15","6",140001,150001,17828,0.4544,0.906795,TRUE,TRUE,1.16323282752487,1.25363298980283,0.326115050461342
"16","6",150001,160001,18508,0.4978,0.948386,TRUE,TRUE,1.14221237094557,1.17990689326129,0.238673020663497
"17","6",160001,170001,17802,0.4734,0.981421,TRUE,TRUE,1.13962009928098,1.13217833939575,0.179101227689954
"18","6",170001,180001,17026,0.4808,0.909356,TRUE,TRUE,1.08110837036007,1.162441208709,0.217157752737836
"19","6",180001,190001,14246,0.4212,0.888221,TRUE,FALSE,0.983938829064836,1.07785479730653,0.108162839207877
"20","6",190001,200001,12398,0.3905,0.900433,TRUE,TRUE,0.91235678951574,0.988831658583013,-0.0162031613643714
"21","6",200001,210001,17273,0.3924,0.916317,TRUE,TRUE,1.26391860266181,1.3501036775355,0.433070199367265
"22","6",210001,220001,14741,0.3452,0.909132,TRUE,TRUE,1.30852420383769,1.40726430378605,0.49289331219317
"23","6",220001,230001,22946,0.433,0.946202,TRUE,TRUE,1.55366616623539,1.60880590870772,0.685990285393193
"24","6",230001,240001,22468,0.4661,0.968762,TRUE,TRUE,1.44751645442886,1.46070022148284,0.546660125193604
"25","6",240001,250001,34574,0.4782,0.994039,TRUE,FALSE,2.20205380887702,2.15367998931961,1.10680389885158
"26","6",250001,260001,32969,0.447,0.965567,TRUE,FALSE,2.17948225486681,2.20785321600856,1.14264426107636
"27","6",260001,270001,36911,0.481,0.997596,TRUE,FALSE,2.34321407287182,2.28169127268452,1.1901035990331
"28","6",270001,280001,35799,0.4776,0.907145,TRUE,FALSE,2.28176655386411,2.4583310981902,1.29767923692622
"29","6",280001,290001,33971,0.4717,0.997133,TRUE,FALSE,2.17749615422957,2.12153738294754,1.0851101001313
"30","6",290001,300001,34847,0.4996,0.979714,TRUE,FALSE,2.14011125674965,2.13066008174424,1.09130044882307
"31","6",300001,310001,32743,0.4974,0.975603,TRUE,FALSE,2.02280424154237,2.02419106128919,1.01734547094387
"32","6",310001,320001,53690,0.4963,0.865952,TRUE,FALSE,3.32570482570517,3.71651033005711,1.8939486179992
"33","6",320001,330001,27825,0.5021,0.964991,TRUE,FALSE,1.69752971239769,1.72078980638164,0.783070883658936
"34","6",330001,340001,14053,0.5257,0.988463,TRUE,TRUE,0.823851191720293,0.811342952550856,-0.301616228090446
"35","6",340001,350001,18465,0.4761,0.944159,TRUE,TRUE,1.17911602270706,1.22371989978901,0.291273373856186
"36","6",350001,360001,14573,0.404,0.972529,TRUE,TRUE,1.03715126779117,1.04176936273387,0.0590359147853854
"37","6",360001,370001,13941,0.4848,0.921092,TRUE,TRUE,0.880804742492841,0.936495416187713,-0.0946561618813365
"38","6",370001,380001,17326,0.4996,0.934629,TRUE,TRUE,1.06406771413448,1.11581986353759,0.158104139212463
"39","6",380001,390001,18513,0.5133,0.962777,TRUE,TRUE,1.10141854676825,1.11942016680093,0.162751643807091
"40","6",390001,400001,16680,0.5216,0.97316,TRUE,TRUE,0.981456081316884,0.985064985975801,-0.0217091907727831
"41","6",400001,410001,14751,0.4255,0.930153,TRUE,TRUE,1.01124747936001,1.0654021892596,0.0913981505609106
"42","6",410001,420001,21443,0.5178,0.92664,TRUE,TRUE,1.26757752563324,1.34028495038393,0.42253975650562
"43","6",420001,430001,11419,0.3858,0.837412,TRUE,FALSE,0.852559520082237,0.974629225543744,-0.0370746105934815
"44","6",430001,440001,14895,0.4075,0.980271,TRUE,TRUE,1.05287617892166,1.04749919834898,0.0669491398306958
